,date,Arts & Entertainment,Autos & Vehicles,Beauty & Fitness,Books & Literature,Business & Industrial,Computers & Electronics,Finance,Food & Drink,Games,Health,Hobbies & Leisure,Home & Garden,Internet & Telecom,Jobs & Education,Law & Government,News,Online Communities,People & Society,Pets & Animals,Real Estate,Reference,Science,Shopping,Sports,Travel
36,2007-01-01,30,15,21,37,28,66,9,13,18,17,19,18,52,13,34,34,12,32,18,11,19,36,25,15,21
37,2007-02-01,33,17,22,44,33,70,9,15,19,19,22,20,52,15,26,35,12,35,18,12,21,47,28,15,21
38,2007-03-01,35,18,25,46,40,73,11,17,20,23,23,23,58,21,26,37,13,39,19,14,25,52,27,16,22
39,2007-04-01,36,19,25,45,37,73,9,15,22,21,23,22,65,19,26,36,14,40,17,15,25,49,26,19,29
40,2007-05-01,36,19,26,46,35,71,11,16,24,20,21,22,53,16,24,37,13,39,19,15,25,46,26,18,24
41,2007-06-01,40,19,29,43,34,73,10,16,35,18,21,22,55,31,29,41,15,44,20,16,24,40,28,19,25
42,2007-07-01,48,19,29,46,38,80,12,17,40,20,23,24,61,93,41,48,16,48,19,17,23,47,32,25,29
43,2007-08-01,50,19,29,49,34,80,12,17,41,19,24,23,58,36,34,46,16,49,19,15,23,40,29,24,28
44,2007-09-01,41,18,23,43,32,74,11,19,33,17,27,19,60,24,31,40,15,45,18,15,22,41,27,22,23
45,2007-10-01,40,19,24,44,34,76,11,18,26,19,27,21,58,14,27,36,15,42,16,14,25,45,27,19,26
46,2007-11-01,41,21,25,53,39,76,13,17,27,22,24,23,58,14,30,37,14,44,22,17,30,51,26,20,25
47,2007-12-01,48,22,25,51,38,84,13,18,34,21,39,25,68,15,27,40,16,46,19,14,29,48,31,19,27
48,2008-01-01,45,19,25,42,35,80,12,17,40,18,23,22,59,19,26,40,14,46,18,14,24,39,27,20,22
49,2008-02-01,43,19,25,41,37,76,12,16,33,19,23,22,62,23,26,38,14,43,22,16,25,42,27,23,23
50,2008-03-01,49,21,30,54,45,88,14,20,35,24,28,25,66,29,30,43,16,50,20,16,32,54,31,22,29
51,2008-04-01,49,22,31,49,41,84,14,18,35,23,25,25,63,20,31,44,16,51,21,20,29,52,27,20,29
52,2008-05-01,55,22,33,50,40,86,16,19,42,23,24,27,66,24,34,46,17,53,23,19,29,49,31,24,28
53,2008-06-01,60,23,34,48,41,87,14,21,56,21,24,26,67,68,45,50,17,60,24,17,29,48,34,30,29
54,2008-07-01,64,24,36,45,43,92,13,21,60,24,30,27,72,100,52,56,19,62,23,21,26,46,35,32,31
55,2008-08-01,68,23,37,47,39,96,16,24,67,22,32,28,76,52,48,50,19,64,23,18,28,45,34,32,29
56,2008-09-01,50,23,28,40,32,85,16,26,52,18,34,23,69,25,34,44,16,60,21,19,23,42,28,24,25
57,2008-10-01,53,23,29,50,42,91,20,20,37,22,26,25,68,21,39,45,16,48,23,16,31,56,30,24,29
58,2008-11-01,53,25,31,57,43,92,19,22,36,24,30,27,70,26,40,48,16,53,26,17,34,66,32,25,31
59,2008-12-01,56,21,29,48,40,93,17,22,43,22,40,23,73,20,35,52,17,53,25,14,29,54,32,25,26
60,2009-01-01,61,21,30,50,40,89,15,24,53,23,27,26,73,23,30,50,17,58,22,18,30,45,32,23,27
61,2009-02-01,67,22,34,56,41,100,16,27,58,25,30,28,81,39,35,46,18,62,26,16,32,51,33,23,29
62,2009-03-01,65,26,38,61,47,96,17,27,51,29,32,30,78,33,34,47,19,61,26,20,35,60,33,22,30
63,2009-04-01,67,27,39,59,48,95,16,26,52,29,31,30,79,27,34,48,19,63,30,18,34,56,34,24,31
64,2009-05-01,62,26,35,52,42,85,16,25,60,28,26,31,70,29,43,51,19,62,25,19,32,48,31,26,27
65,2009-06-01,71,25,37,45,41,81,14,25,74,26,25,26,68,62,38,51,19,65,25,19,29,41,32,34,28
66,2009-07-01,76,26,40,49,44,90,14,26,78,27,29,28,77,76,38,50,21,73,27,20,28,46,35,29,32
67,2009-08-01,74,28,38,50,40,88,14,34,77,24,35,29,78,39,35,46,22,76,26,20,29,41,35,32,32
68,2009-09-01,65,27,36,47,38,79,14,28,68,24,36,25,70,24,31,43,21,64,25,17,27,34,31,28,27
69,2009-10-01,63,28,37,53,49,85,16,26,51,31,28,31,69,27,34,48,21,59,27,18,34,56,32,28,29
70,2009-11-01,67,24,33,54,41,82,16,26,53,27,41,27,68,21,32,56,21,58,27,15,33,57,31,34,29
71,2009-12-01,71,29,35,57,47,93,21,31,59,31,43,34,79,22,32,49,23,68,35,20,33,62,34,26,30
72,2010-01-01,66,28,33,51,56,80,17,29,61,26,30,31,70,21,32,49,22,63,29,19,31,47,31,36,29
73,2010-02-01,72,28,35,50,41,86,15,30,69,26,33,35,72,40,33,47,25,66,30,18,30,46,34,29,29
74,2010-03-01,66,28,37,58,45,84,17,30,52,30,32,37,69,32,38,47,25,62,33,20,33,63,33,28,34
75,2010-04-01,70,29,39,62,46,81,16,30,55,30,32,36,68,27,34,46,27,63,34,19,33,56,33,33,34
76,2010-05-01,67,29,37,58,44,74,19,30,62,29,29,35,65,28,37,45,26,63,30,20,31,51,33,32,32
77,2010-06-01,76,30,41,49,40,75,17,29,81,26,29,37,66,55,37,48,28,66,30,22,32,42,35,40,32
78,2010-07-01,76,31,41,49,41,76,16,30,76,26,32,31,68,52,35,48,32,69,31,23,29,42,34,36,33
79,2010-08-01,63,28,34,45,33,69,14,34,65,21,33,25,62,30,30,42,31,64,27,21,25,33,30,33,28
80,2010-09-01,55,26,31,42,31,65,13,26,46,20,33,24,57,22,27,38,28,52,24,18,26,35,29,26,26
81,2010-10-01,53,28,30,53,40,67,16,26,36,24,26,28,57,19,30,39,28,49,26,21,29,46,28,27,28
82,2010-11-01,54,25,30,49,31,61,15,25,40,21,36,24,55,14,29,42,28,48,22,17,25,43,28,25,26
83,2010-12-01,52,26,29,45,34,60,15,27,39,23,34,25,55,15,27,43,29,47,27,17,28,45,27,27,28
84,2011-01-01,67,34,39,56,43,78,19,35,61,26,34,31,71,23,43,64,39,70,31,21,33,44,34,31,30
85,2011-02-01,86,25,41,64,38,85,24,36,87,23,36,31,81,36,100,100,59,78,32,18,40,38,32,22,27
86,2011-03-01,83,34,49,73,46,96,23,40,68,29,42,36,86,36,90,98,64,73,38,22,44,52,37,24,29
87,2011-04-01,86,42,60,76,53,96,23,45,68,34,42,42,90,30,69,95,68,78,40,26,41,58,40,35,36
88,2011-05-01,83,42,55,71,51,93,23,44,82,34,40,42,84,36,62,85,65,80,41,29,40,53,42,37,36
89,2011-06-01,95,42,61,69,48,94,21,45,94,33,42,44,90,58,59,75,69,90,43,30,37,57,45,37,37
90,2011-07-01,100,43,64,67,54,95,22,45,99,31,51,41,95,70,60,86,76,91,41,27,38,54,47,45,39
91,2011-08-01,86,42,56,59,48,87,24,56,92,29,57,37,86,44,62,75,74,89,39,30,37,51,42,43,36
92,2011-09-01,85,45,59,66,48,90,30,42,68,32,45,39,91,37,57,75,71,74,40,30,41,53,47,41,37
93,2011-10-01,75,43,55,69,53,88,30,44,50,33,45,38,88,29,60,68,67,70,38,28,41,63,42,33,37
94,2011-11-01,80,40,51,68,46,85,24,42,59,31,54,33,85,20,61,89,70,71,39,22,39,58,43,31,32
95,2011-12-01,81,47,58,72,53,93,25,47,60,36,60,41,94,25,60,85,78,78,44,28,42,64,46,32,35
96,2012-01-01,84,49,55,64,50,85,24,48,80,33,47,42,85,28,49,66,76,79,40,25,36,49,45,36,33
97,2012-02-01,82,54,56,68,50,92,21,47,72,33,45,40,88,39,51,68,85,77,43,28,37,50,45,29,31
98,2012-03-01,78,65,58,71,54,96,22,49,59,36,50,44,86,30,48,61,83,78,45,27,39,59,46,24,34
99,2012-04-01,80,68,59,64,55,87,19,48,60,35,43,40,83,27,47,66,88,77,40,27,37,56,42,28,35
100,2012-05-01,86,68,58,61,49,81,20,48,84,33,39,43,79,41,53,83,84,85,42,29,37,49,42,27,35
101,2012-06-01,92,71,63,61,46,82,19,48,95,32,40,44,84,42,59,82,89,85,44,26,38,43,46,32,37
102,2012-07-01,86,72,62,57,51,78,18,57,93,31,52,43,84,60,54,61,84,90,40,31,38,45,46,31,39
103,2012-08-01,81,72,61,55,49,79,19,52,84,30,56,40,82,38,56,58,78,81,42,30,35,42,45,32,40
104,2012-09-01,79,73,61,65,53,82,21,48,64,35,44,46,86,37,55,50,74,75,46,33,40,52,47,28,40
105,2012-10-01,74,78,55,63,51,77,19,44,55,33,60,39,84,21,47,47,76,67,42,29,40,55,44,25,36
106,2012-11-01,71,80,54,67,53,79,19,47,52,34,42,39,86,21,51,56,75,67,39,27,41,57,44,27,33
107,2012-12-01,76,79,53,70,49,80,21,46,60,34,50,40,90,21,72,66,86,72,44,29,40,55,45,25,34
108,2013-01-01,80,81,55,64,50,81,25,48,81,32,46,42,88,28,42,52,85,78,44,31,38,46,47,22,34
109,2013-02-01,75,82,59,68,53,86,22,49,70,34,46,43,92,29,43,49,87,72,47,31,41,51,47,26,33
110,2013-03-01,75,90,64,71,55,83,21,51,61,38,50,46,88,27,43,50,89,71,48,33,41,57,47,27,35
111,2013-04-01,72,89,64,65,55,78,27,52,63,38,45,46,86,24,46,46,88,72,49,34,42,52,46,27,37
112,2013-05-01,82,89,65,63,54,74,22,53,82,37,46,46,88,36,46,44,91,81,48,34,39,48,47,27,40
113,2013-06-01,90,98,74,70,52,79,21,57,96,37,48,46,97,48,67,53,100,89,51,32,41,47,51,27,41
114,2013-07-01,91,94,70,78,51,76,22,71,100,33,56,41,95,51,72,78,100,100,47,25,42,43,48,23,36
115,2013-08-01,92,100,72,71,49,76,20,56,87,33,59,46,97,35,61,63,96,85,49,32,41,42,51,25,44
116,2013-09-01,79,96,69,69,55,79,22,52,68,36,46,46,94,36,61,47,86,71,48,35,42,49,50,27,42
117,2013-10-01,73,82,61,67,49,74,19,50,54,36,58,39,91,23,46,43,76,65,44,31,45,49,48,27,36
118,2013-11-01,73,84,62,74,54,76,19,53,53,40,47,48,90,22,48,44,77,64,46,35,48,58,48,27,35
119,2013-12-01,75,86,58,75,56,75,21,55,54,38,55,48,88,24,54,50,73,68,48,34,46,57,49,24,35
120,2014-01-01,88,85,60,69,55,75,20,59,77,37,52,46,90,29,60,52,78,79,53,34,44,46,53,24,36
121,2014-02-01,89,93,70,75,59,81,21,64,83,42,57,51,100,36,51,46,86,83,58,39,46,52,56,30,38
122,2014-03-01,81,93,68,75,59,79,24,59,61,41,58,51,91,29,51,46,81,74,57,41,46,56,53,31,36
123,2014-04-01,81,89,66,76,57,73,23,61,56,43,54,52,89,26,47,44,75,72,53,39,47,57,50,37,43
124,2014-05-01,91,93,71,75,57,75,21,63,75,42,53,56,88,39,52,53,78,83,56,39,48,55,53,36,44
125,2014-06-01,93,96,76,74,59,72,22,65,87,43,70,55,92,41,54,48,81,86,67,39,46,51,55,54,47
126,2014-07-01,88,92,71,69,58,69,23,79,76,41,83,45,89,45,54,49,76,85,100,40,41,45,56,42,55
127,2014-08-01,96,97,79,76,66,76,23,63,70,46,62,53,99,42,58,48,74,83,65,51,48,52,65,34,66
128,2014-09-01,86,91,72,74,60,70,24,60,56,45,61,47,93,37,59,45,66,72,56,43,47,53,55,35,52
129,2014-10-01,78,87,67,78,59,69,23,62,48,46,70,47,89,28,53,43,65,68,58,41,49,57,57,32,45
130,2014-11-01,76,87,65,85,60,71,25,65,44,48,58,51,84,30,58,48,64,70,57,39,53,66,55,31,42
131,2014-12-01,79,89,67,85,61,73,25,70,49,51,70,52,83,31,58,47,66,76,59,40,54,67,59,33,46
132,2015-01-01,84,88,66,76,61,70,25,72,66,46,65,53,83,36,60,51,64,82,62,38,49,56,61,38,44
133,2015-02-01,79,87,66,83,62,72,27,71,54,47,59,52,81,36,69,55,61,78,62,41,50,60,59,33,43
134,2015-03-01,78,84,66,80,64,71,25,69,46,50,68,56,82,30,56,46,58,75,62,42,53,64,58,31,48
135,2015-04-01,79,83,69,80,62,70,24,70,49,50,63,57,79,26,51,45,60,74,61,44,52,60,61,34,48
136,2015-05-01,84,86,72,78,62,65,24,69,62,51,59,59,79,43,55,47,60,80,63,46,51,59,60,41,51
137,2015-06-01,84,82,70,81,59,65,24,83,64,47,70,55,74,42,52,45,63,82,61,45,45,52,59,41,52
138,2015-07-01,86,85,80,81,60,67,29,79,60,51,81,52,81,53,57,57,62,83,63,48,46,52,67,48,64
139,2015-08-01,88,87,84,84,70,70,29,69,54,57,64,69,83,44,62,59,59,78,62,60,52,58,69,46,72
140,2015-09-01,81,79,74,79,60,64,26,67,46,51,81,52,80,33,61,48,58,70,58,51,50,54,62,44,59
141,2015-10-01,73,78,69,83,61,62,28,67,35,54,62,55,75,27,57,55,52,68,54,48,55,66,60,43,50
142,2015-11-01,72,75,66,84,65,65,30,68,34,55,61,53,76,24,57,58,51,68,57,44,57,68,61,37,47
143,2015-12-01,75,75,69,82,64,66,26,71,37,57,73,56,76,24,56,51,48,74,60,43,56,67,65,36,47
144,2016-01-01,89,81,72,87,65,65,28,73,54,54,66,58,76,32,56,57,66,82,64,50,59,61,65,45,47
145,2016-02-01,89,79,75,92,72,68,34,70,50,57,67,65,80,46,57,56,66,81,65,53,61,64,66,47,47
146,2016-03-01,82,81,78,94,76,66,42,69,40,63,74,65,75,28,57,58,62,79,65,50,66,73,63,52,49
147,2016-04-01,81,78,77,85,75,62,42,68,41,60,65,64,72,28,55,54,60,76,62,50,65,68,62,53,56
148,2016-05-01,85,82,80,85,72,63,41,71,55,60,69,67,72,51,57,55,65,84,66,52,63,67,64,53,57
149,2016-06-01,94,78,80,80,67,57,37,97,60,56,76,64,71,45,54,54,61,90,63,50,51,55,61,58,56
150,2016-07-01,100,91,95,90,74,67,51,75,60,61,90,66,82,64,64,63,67,86,71,61,61,59,76,61,86
151,2016-08-01,91,91,91,84,79,67,52,70,53,61,74,66,78,47,70,55,65,83,67,64,63,66,71,66,78
152,2016-09-01,83,82,78,79,64,61,37,69,43,55,97,57,75,34,63,46,56,77,66,53,60,58,68,50,62
153,2016-10-01,73,80,73,83,75,62,54,69,31,60,64,61,73,26,64,49,52,72,62,57,70,73,61,53,49
154,2016-11-01,71,74,65,84,70,59,100,66,29,57,60,57,67,23,58,53,49,68,57,49,68,72,60,43,46
155,2016-12-01,72,70,65,84,69,60,62,71,34,60,74,64,72,24,59,51,50,72,65,47,67,72,62,48,47
156,2017-01-01,76,71,64,82,76,60,54,71,44,55,63,59,70,35,54,52,47,74,63,51,62,62,61,66,48
157,2017-02-01,76,72,67,86,76,64,80,73,38,59,65,61,73,40,54,51,47,73,67,56,64,62,63,61,48
158,2017-03-01,74,70,71,88,75,62,67,71,31,62,70,62,69,27,55,46,45,72,61,55,66,71,64,43,50
159,2017-04-01,78,70,75,84,78,61,47,70,32,63,66,60,67,25,55,47,47,78,64,54,67,70,62,55,56
160,2017-05-01,76,68,69,77,74,57,43,73,40,61,72,66,62,53,57,43,45,76,62,58,60,66,62,48,52
161,2017-06-01,79,71,76,78,72,54,43,89,41,55,85,71,63,45,55,46,45,75,62,60,51,56,71,47,67
162,2017-07-01,82,78,87,81,85,60,53,71,42,63,68,84,70,56,64,53,47,73,64,75,59,59,75,49,87
163,2017-08-01,72,72,78,77,73,55,47,68,35,61,77,66,63,36,54,44,43,68,57,66,58,58,69,46,75
164,2017-09-01,65,64,68,73,66,54,38,63,29,55,61,52,65,28,50,39,39,62,51,56,59,54,63,51,56
165,2017-10-01,60,62,62,75,72,54,36,62,23,61,51,53,62,25,48,41,35,58,49,50,67,66,57,51,50
166,2017-11-01,57,56,60,73,68,50,34,64,23,58,54,51,57,21,47,40,31,59,48,46,66,62,59,45,45
167,2017-12-01,61,59,60,77,68,55,38,69,25,60,59,57,62,25,49,43,34,61,54,47,70,66,61,50,48
168,2018-01-01,64,56,60,74,61,52,35,70,33,55,54,54,56,36,45,45,31,62,54,48,58,54,60,46,50
169,2018-02-01,56,59,62,77,68,51,36,67,25,58,57,55,56,27,47,43,29,61,53,51,64,61,59,49,49
170,2018-03-01,58,55,63,72,66,51,36,63,25,64,62,58,56,23,48,51,30,60,52,49,64,62,59,47,50
171,2018-04-01,56,54,64,75,67,49,36,64,26,60,66,56,56,23,44,42,29,60,86,48,65,58,57,59,54
172,2018-05-01,58,53,59,66,61,46,36,76,31,56,61,56,55,46,46,41,28,65,48,47,57,52,57,53,48
173,2018-06-01,62,56,69,71,62,49,37,75,36,56,69,56,62,37,49,41,29,63,49,52,56,46,65,77,62
174,2018-07-01,63,60,78,73,74,53,42,65,34,62,59,62,63,63,58,47,29,65,53,73,63,61,71,57,82
175,2018-08-01,61,61,75,72,68,53,45,73,31,62,78,64,62,32,55,47,27,67,52,68,59,52,72,49,79
176,2018-09-01,57,68,74,76,79,55,42,76,27,66,64,76,63,31,62,43,25,63,56,72,67,60,79,55,70
177,2018-10-01,51,63,65,80,82,55,42,75,23,69,59,73,61,24,59,41,23,60,52,68,72,69,76,56,62
178,2018-11-01,52,57,64,79,76,53,40,71,23,65,59,69,57,22,52,44,22,60,55,62,70,66,77,56,58
179,2018-12-01,57,67,68,84,86,59,43,83,28,73,75,88,60,26,56,53,21,66,66,77,76,75,91,66,70
180,2019-01-01,60,66,65,80,79,56,44,79,32,65,69,84,59,34,51,57,22,67,59,76,66,61,90,67,67
181,2019-02-01,59,62,70,82,83,57,48,80,28,67,66,80,60,37,54,60,22,64,61,72,68,60,86,76,68
182,2019-03-01,57,62,71,81,85,60,50,78,26,73,72,83,59,26,55,49,23,67,61,74,72,68,84,67,66
183,2019-04-01,56,57,70,83,79,55,46,71,26,70,68,74,58,23,56,48,24,67,54,66,72,63,75,87,65
184,2019-05-01,63,58,67,71,70,51,46,90,30,63,72,68,55,40,47,39,23,82,51,68,65,60,72,77,62
185,2019-06-01,69,71,85,84,83,63,57,87,33,74,100,92,66,44,56,39,26,72,62,100,73,61,100,68,91
186,2019-07-01,62,73,89,83,95,63,59,87,30,74,75,94,64,59,61,40,25,68,64,94,72,67,99,62,100
187,2019-08-01,60,72,81,76,81,59,59,80,28,71,90,80,66,33,55,36,25,68,64,83,69,58,95,53,93
188,2019-09-01,57,90,73,77,82,58,61,76,24,71,62,79,66,32,60,36,22,61,53,76,76,64,83,52,73
189,2019-10-01,52,63,69,79,83,59,56,76,21,72,62,74,64,24,59,50,22,62,55,72,84,75,80,52,68
190,2019-11-01,52,64,72,81,82,58,52,76,22,76,66,78,62,22,52,49,22,64,58,66,82,74,88,66,68
191,2019-12-01,53,64,71,86,86,63,52,83,24,77,79,83,65,25,53,58,22,67,72,70,88,78,90,85,71
192,2020-01-01,56,63,70,82,81,61,56,80,27,71,69,79,64,36,54,61,23,70,60,69,81,65,88,77,68
193,2020-02-01,56,62,73,84,89,61,56,80,25,75,64,79,64,37,62,61,23,70,59,65,82,67,83,85,66
194,2020-03-01,61,55,74,92,92,66,62,80,29,90,72,79,65,29,67,74,25,78,74,57,84,73,79,45,51
195,2020-04-01,69,47,74,96,90,81,55,100,33,86,75,76,65,39,63,56,24,100,62,48,85,82,72,15,42
196,2020-05-01,66,55,81,90,88,71,52,99,30,92,83,82,62,36,66,58,22,99,61,56,83,100,75,15,41
197,2020-06-01,61,63,89,100,91,72,67,86,30,97,64,90,68,39,75,56,24,82,65,66,89,87,82,28,44
198,2020-07-01,53,64,87,81,81,61,59,83,26,80,79,82,61,26,61,47,21,75,59,68,71,60,79,39,54
199,2020-08-01,55,69,86,80,90,61,66,79,24,82,64,80,60,52,65,51,21,71,56,70,74,66,81,53,67
200,2020-09-01,48,64,78,79,84,56,60,72,21,77,55,72,60,35,65,48,21,65,55,63,76,67,74,61,57
201,2020-10-01,51,60,74,78,84,56,54,72,21,74,55,64,60,33,64,57,22,69,52,56,85,69,72,74,49
202,2020-11-01,51,59,74,92,82,57,55,76,20,80,53,68,60,25,59,69,21,67,50,54,94,78,75,66,39
203,2020-12-01,54,62,77,88,88,62,63,79,22,91,67,69,64,30,61,64,23,73,59,58,100,87,79,80,45
204,2021-01-01,59,65,82,85,84,63,60,80,24,83,65,78,64,19,58,62,22,77,68,57,84,66,80,84,45
205,2021-02-01,57,64,83,85,86,63,63,80,24,82,60,77,64,25,62,75,21,76,60,60,90,74,84,100,44
206,2021-03-01,51,65,83,81,87,61,66,85,22,87,70,85,62,31,57,58,21,76,61,64,91,76,83,75,46
207,2021-04-01,59,61,84,76,89,59,58,97,22,88,79,80,59,24,60,60,21,98,65,58,88,72,79,87,55
208,2021-05-01,59,66,90,78,90,60,58,89,23,98,87,82,59,22,64,60,22,89,69,62,87,76,82,98,64
209,2021-06-01,52,72,96,86,93,63,65,85,22,100,69,91,62,45,65,49,22,75,65,74,91,80,89,65,70
210,2021-07-01,57,69,100,84,98,61,67,89,24,90,92,94,63,32,62,52,20,80,62,78,82,65,95,83,81
211,2021-08-01,54,76,99,84,100,62,64,88,22,98,68,100,64,48,66,51,20,80,69,84,87,77,94,89,86
212,2021-09-01,48,70,87,80,90,62,58,80,21,93,60,86,60,39,65,44,19,72,58,80,88,79,87,63,68
213,2021-10-01,50,67,89,85,88,60,56,80,20,92,66,77,60,37,66,45,19,74,54,71,94,84,84,61,60
